24852,Banana
13176,Bag of Organic Bananas
21137,Organic Strawberries
21903,Organic Baby Spinach
47626,Large Lemon
47766,Organic Avocado
47209,Organic Hass Avocado
16797,Strawberries
26209,Limes
27966,Organic Raspberries
39275,Organic Blueberries
27845,Organic Whole Milk
30391,Organic Cucumber
45007,Organic Zucchini
22935,Organic Yellow Onion
24964,Organic Garlic
4920,Seedless Red Grapes
46979,Asparagus
40706,Organic Grape Tomatoes
8518,Organic Red Onion
4605,Yellow Onions
42265,Organic Baby Carrots
45066,Honeycrisp Apple
31717,Organic Cilantro
5876,Organic Lemon
44632,Sparkling Water Grapefruit
43352,Raspberries
28204,Organic Fuji Apple
5450,Small Hass Avocado
8424,Broccoli Crown
21616,Organic Baby Arugula
24184,Red Peppers
19057,Organic Large Extra Fancy Fuji Apple
30489,Original Hummus
26604,Organic Blackberries
37646,Organic Gala Apples
27104,Fresh Cauliflower
49235,Organic Half & Half
28985,Michigan Organic Kale
44359,Organic Small Bunch Celery
48679,Organic Garnet Sweet Potato (Yam)
41950,Organic Tomato Cluster
21938,Green Bell Pepper
17794,Carrots
43961,Organic Peeled Whole Baby Carrots
27086,Half & Half
49683,Cucumber Kirby
34126,Organic Italian Parsley Bunch
10749,Organic Red Bell Pepper
39877,Organic Granny Smith Apple
37067,Organic Banana
9076,Blueberries
5077,100% Whole Wheat Bread
12341,Hass Avocados
8277,Apple Honeycrisp Organic
34969,Red Vine Tomato
19660,Spring Water
35951,Organic Unsweetened Almond Milk
24838,Unsweetened Almondmilk
25890,Boneless Skinless Chicken Breasts
31506,Extra Virgin Olive Oil
46667,Organic Ginger Root
22035,Organic Whole String Cheese
8174,Organic Navel Orange
35221,Lime Sparkling Water
29487,Roma Tomato
28842,Bunched Cilantro
34358,Garlic
20114,Jalapeno Peppers
11520,Large Alfresco Eggs
22825,Organic D'Anjou Pears
39928,Organic Kiwi
15290,Orange Bell Pepper
33198,Sparkling Natural Mineral Water
27344,Uncured Genoa Salami
18465,Organic Grade A Free Range Large Brown Eggs
27521,Organic Lacinato (Dinosaur) Kale
16759,Organic Carrot Bunch
33731,Grated Parmesan
9839,Organic Broccoli
38739,Hass Avocado
27156,Organic Black Beans
23909,2% Reduced Fat Milk
5785,Organic Reduced Fat 2% Milk
46906,Grape White/Green Seedless
196,Soda
11777,Red Raspberries
28199,Clementines, Bag
33000,Pure Irish Butter
44142,Red Onion
47144,Unsweetened Original Almond Breeze Almond Milk
40604,Feta Cheese Crumbles
5025,Green Onions
42736,Unsalted Butter
21709,Sparkling Lemon Water
8193,Russet Potato
9387,Granny Smith Apples
37687,Organic Spring Mix
20995,Organic Broccoli Florets
34243,Organic Baby Broccoli
6184,Clementines
